cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_10x4POcI0TnVPl9,Affordability and cost of living,EN,Affordability and cost of living
R_10xBl4TW3tFK9Oq,Environnement,FR-CA,Environment
R_10xvOjJC4bcQGqV,Climate Change,EN,Climate Change
R_10xyQwcfB0RDkEJ,Health care,EN,Health care
R_110WI4Uucq9fKW6,Transfer en santé,FR-CA,Transfer to Health
R_110Yj6P7jMwAIKh,health care,EN,health care
R_110dc3OXwpBIbaC,Healthcare,EN,Healthcare
R_114KcqOUB2l1fiS,Human rule,EN,Human rule
R_114LL7bcfATjBWR,Taxes,EN,Taxes
R_114N3C7k1JWKBac,idear for improvement of retire persons,EN,idear for improvement of retire persons
R_114NjibEJ8SJzXg,Budget,EN,Budget
R_114OAClF4vh1O5l,Education and COVID 19 Response,EN,Education and COVID 19 Response
R_114mAjlnNevO8DI,poverty and inequality,EN,poverty and inequality
R_114nbuIz2eYz5m8,Economy,EN,Economy
R_1154IgVlPTNqI9J,affordability,EN,affordability
R_1155fY97MQqmJZE,Economy,EN,Economy
R_1157BKSj9f22LFF,Autonomie des provinces,FR-CA,Provincial autonomy
R_115Cyyv8VoDctGK,les finances publiques,FR-CA,Public Finance
R_115PK1cIgdYG4Bn,COVID-19,EN,COVID-19
R_115TKUL8fubUar0,Climate change,EN,Climate change
R_115zCLwVn61MDWZ,ta x,EN,ta x
R_116DvYhGN816TD3,Immigration,EN,Immigration
R_1172DQSWW3lFOrN,"Financial health of the country, debt, interest rates, spending, etc",EN,"Financial health of the country, debt, interest rates, spending, etc"
R_11746HSEXeXVCEf,deficit/debt,EN,deficit/debt
R_1175e4FNscMJcAa,the federal debt,EN,the federal debt
R_1178x5jjF9HIrFe,Affordable housing,EN,Affordable housing
R_117W7iRt1Vr9usN,Covid-19,EN,Covid-19
R_117vAoQZSmLKzS0,Health,FR-CA,Health
R_11X8IuiKtwfQ1aC,Helping students and the arts,EN,Helping students and the arts
R_11XCcCQ9dFBPycJ,environnement,FR-CA,environment
R_11XDW5kytV8kNqm,Le cout de la vie,FR-CA,The cost of life
R_11XGdSZoHgGZB5u,"How the different branches of government with deal with covid as well as education, health care",EN,"How the different branches of government with deal with covid as well as education, health care"
R_11XV9bqYKn2trtL,The pandemic,EN,The pandemic
R_11XXZ0PWR1O9UYh,health,EN,health
R_11Xaj4y5PSUT0gE,unité,FR-CA,Unit
R_11Xamyd0VdeeiU5,Cost of Living,EN,Cost of Living
R_11XbDYnSHmM9Plp,COVID recovery,EN,COVID recovery
R_11XjwagAhHPnBXG,Poverty,EN,Poverty
R_11Xt6qOCEciH0Ph,getting rid of Trudeau -- his hypocrisy is terrible,EN,getting rid of Trudeau -- his hypocrisy is terrible
R_11Y0DuSKTHiRmxy,addressing climate changes,EN,addressing climate changes
R_11YBot8PfYyPb8l,Economy,EN,Economy
R_11YBtJFgZMNUzjT,Government ethics,EN,Government ethics
R_11YCKOiPYH7spbL,The economy,EN,The economy
R_11YGqrulCeRH9zn,Efficiency of government,EN,Efficiency of government
R_11YgZdF6qRtjWfh,Not being in a communist country. Justin Trudeau said he would take away human rights and democracy to those who are unvaccinated. This is a huge human rights issue.,EN,Not being in a communist country. Justin Trudeau said he would take away human rights and democracy to those who are unvaccinated. This is a huge human rights issue.
R_11Yq2vzNfmrvyCh,Economic recovery,EN,Economic recovery
R_11ZPvDUfYgyKBR8,Ne sais pas encore,FR-CA,Don't know yet
R_11ZaldlYx9b2KHb,Reestablish a workable budget putting Canada  and Canadians first,EN,Reestablish a workable budget putting Canada  and Canadians first
R_11ZqT1ItxbYUqQ9,Eradicating/controlling spread of Covid 19,EN,Eradicating/controlling spread of Covid 19
R_11ZqUAFl86aGtzV,Covid,EN,Covid
R_11Zs0XsalAd4ecY,L'enjeu aurait été de ne pas avoir d'élections.,FR-CA,The challenge would have been not to have an election.
R_11aQkBsk8Ob5kd5,Nine,EN,Nine
R_11an9wDuvxGXoZ4,Economy,EN,Economy
R_11anfgfime5kUZx,Economic,EN,Economic
R_11au0n8n8yhRGPO,Housing and cost of living,EN,Housing and cost of living
R_11b95jD9ouQPCn8,Environment,EN,Environment
R_11bFE5ZtAQ4O8Be,reconnaissance du francais et peuple du Quebec comme peuple colonisateur a égalité avec les anglais,FR-CA,recognition of the French and the people of Quebec as colonizing people equals with the English
R_11bImT9kZV6h5tJ,Not sure,EN,Not sure
R_11bViq6zzTPCxvj,Housing prices,EN,Housing prices
R_11bjoKTrYLMm3aW,Environmental policies and the housing crisis,EN,Environmental policies and the housing crisis
R_11bkz9QiPHBj1wx,Housing,EN,Housing
R_11bvmyKC3EQ7lpC,Cost of living,EN,Cost of living
R_11bvn9wJZRnzg4j,COVID 19,EN,COVID 19
R_11bxS8AtnCC9DLt,Cost of living,EN,Cost of living
R_11by1IhjglTjtw1,Covid,EN,Covid
R_11bzFFPfJz0Vrp4,Economic,EN,Economic
R_11bzk4GYqCFU4kP,Senior Affordable Housing,EN,Senior Affordable Housing
R_11cFXv0wUzob3pj,senior's welfare,EN,senior's welfare
R_11cHMdDe3OsPGKm,Freedom/end of censorship and mandates,EN,Freedom/end of censorship and mandates
R_11cJzC1e6dJZOx4,Climate change,EN,Climate change
R_11cQrJy2KsVWJQY,"The pandemic. I want to know who will best manage the balance of economy and healthcare, as well as future plans for the vaccine passports.",EN,"The pandemic. I want to know who will best manage the balance of economy and healthcare, as well as future plans for the vaccine passports."
R_11d6Tw7foKx6dFi,Environment,EN,Environment
R_11dVTeXr18o2MhF,Economie,FR-CA,Economy
R_11dpzdVvRDZwvOF,Santé,FR-CA,Health
R_11dq42RRHxqDWXi,funding for seniors,EN,funding for seniors
R_11dtWXjojk5dODv,Finances publiques,FR-CA,Public finance
R_11dvIrjbTXC4Iln,Affordable housing,EN,Affordable housing
R_11gOhe01SV73vId,Food security,EN,Food security
R_11gv44AwPtjdhRk,Climate change.,EN,Climate change.
R_11hCcJYdeiLfgnR,taxes,EN,taxes
R_11hDBxbUnMtg903,"Covid/vaccine mandates, passports",EN,"Covid/vaccine mandates, passports"
R_11hHMX4uiz2Ogi4,économie post-covid,FR-CA,post-covid economy
R_11hfXEdEnNUiLaA,Indigenous relations,EN,Indigenous relations
R_11hho1UMEge01z2,how who is elected will effect me and my family,EN,how who is elected will effect me and my family
R_11hhs9kjzATZlCJ,Mandatory covid vacxinations,EN,Mandatory covid vacxinations
R_11hjwL2QQup5VRf,Impôts pour retraité classe moyenne,FR-CA,Taxes for middle-class pensioners
R_11hz5mMjyDtAli1,Forced vaccinations,EN,Forced vaccinations
R_11hzxI6S0sVcFeA,santé,FR-CA,health
R_11hzyC6EI3oeur1,Healthcare,EN,Healthcare
R_11i2DdSxGY0CPUU,Getting the nation theough the pandemic so we may seriously address out  environmental challenges,EN,Getting the nation theough the pandemic so we may seriously address out  environmental challenges
R_11i4iKdpD8iveTb,Cost of living,EN,Cost of living
R_11iRBLSZ9H6Rc73,Retrouver nos libertés,FR-CA,Restore our freedoms
R_11ivVy27zVE03Jg,Health Care,EN,Health Care
R_11j4Xhr1oszx2YR,l'environnement,FR-CA,Environment
R_11j4YAVwOlpen1O,The wellbeing of the Indigenous Peoples,EN,The wellbeing of the Indigenous Peoples
R_11j4uV9wum1DyHF,Affordability/economy,EN,Affordability/economy
R_11j6NfjcB25Es0H,Trust,EN,Trust
R_11j9kFiWxHNNVI1,"Dire need to innovate green technology: carbon capture, hydro and wind power, mining for battery minerals",EN,"Dire need to innovate green technology: carbon capture, hydro and wind power, mining for battery minerals"
R_11jB9YtfasjVGD3,COVID issues,EN,COVID issues
R_11jDTgQTUxInbly,Corruption within political parties,EN,Corruption within political parties
R_11jX1WMUoYqmmPK,le deficit,EN,le deficit
R_11jdLuMjnf7pQDv,Current policies of coerced vaccines & so called vaccine passport. Signals loss of freedoms & rights. Government overreach.,EN,Current policies of coerced vaccines & so called vaccine passport. Signals loss of freedoms & rights. Government overreach.
R_11jdzSM7I0Jiklh,Immigration,EN,Immigration
R_11jx9Efqwsy51bO,Free speech,EN,Free speech
R_120iTjA1HeBO1Xk,La majorité parlementaire,FR-CA,The parliamentary majority
R_122Lthl7BONcUOj,National subsidized day care,EN,National subsidized day care
R_122MUOl58gJi8ya,Handling pandemic,EN,Handling pandemic
R_122SHpiGMcunjgx,COVID-19 health and safety,EN,COVID-19 health and safety
R_122YCkU3qszThV4,public services,EN,public services
R_122YbpCtyijMaTr,Economie,FR-CA,Economy
R_123YiG95mavyFAy,Covid,EN,Covid
R_1242p9ND6FZm1Of,Covid,EN,Covid
R_1245pGDQf87Ddnm,les transferts d'ardent aux provinces,FR-CA,transfers of ardent funds to provinces
R_124gAhSZDE2vcQV,Qfarmer geowth,EN,Qfarmer geowth
R_124oqY20CTonhXo,Vaccine passports,EN,Vaccine passports
R_125Sq9XHO1lIveA,"COVID, medical & mental healthcare, Ethics & accountability",EN,"COVID, medical & mental healthcare, Ethics & accountability"
R_126ewLHHYTC2Rew,IT'S ABOUT ECONOMY,EN,IT'S ABOUT ECONOMY
R_126fZ9w1HrIfyK8,Covid,EN,Covid
R_126iA1rC0fJ6ARW,No issue,EN,No issue
R_128O3rI4sygTCY7,The way covid is handled,EN,The way covid is handled
R_128V8Xu6fWzBKgf,taxes,EN,taxes
R_128VvFLBI87FLvE,Coronavirus,EN,Coronavirus
R_128Zm0z45g3lYZ3,Environnement,FR-CA,Environment
R_129JrfVt2K644dK,la dette,FR-CA,debt
R_129KQ6JTu0AlFI9,THERE IS NOTHING IMPORTANT TO  ME AS THEY WILL  DO WHAT THEY WANT,EN,THERE IS NOTHING IMPORTANT TO  ME AS THEY WILL  DO WHAT THEY WANT
R_129M9OPVcqqyps9,Environnement,FR-CA,Environment
R_129Mi4bo2w7684c,senoirs,EN,senoirs
R_129XrWZuuGfCRoE,Climate change,EN,Climate change
R_129otwX521ZyZRn,Réduction des dépenses,FR-CA,Reduction of expenditure
R_12DTkxAPJMheEIA,Les conditions de travail et la réduction de l’écart entre les riches et les pauvres,FR-CA,Working conditions and narrowing the gap between rich and poor
R_12DU6bRXxAke9KF,"Get back on track, stop wasting money aboard and take care of ppl in need, housing, veterans, old age etc",EN,"Get back on track, stop wasting money aboard and take care of ppl in need, housing, veterans, old age etc"
R_12DYlXvl89zpZgM,Economy,EN,Economy
R_12DsZUpSwANhkzr,covid and covid money issues,EN,covid and covid money issues
R_12DwyP2QVj2W5Q0,Money for families/ help with rent,EN,Money for families/ help with rent
R_12EKAYs3kwKZn7s,Health care,EN,Health care
R_12EaNrby6s63LgO,Health care,EN,Health care
R_12EjTHEq8mYwAPA,people should get appropriate medical and financial help they need to live with a roof and food,EN,people should get appropriate medical and financial help they need to live with a roof and food
R_12EwW6u110zhtsf,Maintaining rights and freedoms,EN,Maintaining rights and freedoms
R_12FFHDe5qUvgUUl,"Indigenous persons issues including housing, clean water & reconciliation.",EN,"Indigenous persons issues including housing, clean water & reconciliation."
R_12FKS29iQmlGT4i,Jobs,EN,Jobs
R_12FPEMPBgxygIwh,"Government control, vaccine passports",EN,"Government control, vaccine passports"
R_12FibzDG737rQnn,Money for families,EN,Money for families
R_12FikOonLPuPsd5,crime,EN,crime
R_12FlfCTopuk1f6G,COVID 19,EN,COVID 19
R_12G9WwcTB0A32RD,Immigration,EN,Immigration
R_12GeOhDFT4Y3w5O,Affordable housing for first time buyers,EN,Affordable housing for first time buyers
R_12GemeybJyLzDQD,the election itself,EN,the election itself
R_12Gw4oWtSYR6esb,The fact that it was called during a pandemic. WE did not need it!,EN,The fact that it was called during a pandemic. WE did not need it!
R_12JBQyWy6TlUlBN,Over taxation,EN,Over taxation
R_12JOF6w9TW8YGO5,L'habitation,FR-CA,Housing
R_12JUMixpgeOt0vg,Covid,EN,Covid
R_12JXqseGDqOO3Vj,homelessness,EN,homelessness
R_12JY4fixz3eaogj,Not sure?,EN,Not sure?
R_12JfYjvelRQHXsk,Covid,EN,Covid
R_12JuwToTCmaYyc9,criminals in office,EN,criminals in office
R_12KCZdGS8vZ2LSs,getting rid of Trudeau,EN,getting rid of Trudeau
R_12Kk5XuaNrY9xKm,La dette publique.,FR-CA,Public debt.
R_12L21wHAJRNrsZ0,Environmental,EN,Environmental
R_12LHK2JPLiMd5na,Debt,EN,Debt
R_12LKHelJq6F9j2p,Redresser l'économie du pays,FR-CA,Restoring the country's economy
R_12LQZdIx2S8tEyM,Raising the OAS & Senior Housing,EN,Raising the OAS & Senior Housing
R_12LlXHWKzYCeA03,Health care,EN,Health care
R_12Lo4UOesjisat8,Homelessness,EN,Homelessness
R_12M6JzbKYnoFnxO,Cost of living,EN,Cost of living
R_12MdXhdRrOSb9w1,It’s really interesting.,EN,It’s really interesting.
R_12MeBXbEY1oQaEQ,Economy,EN,Economy
R_12Mg582EfR3vCTD,the economy,EN,the economy
R_12MszYTHACpHm08,COVID-19,EN,COVID-19
R_12MxxnltKhpgOsP,Economy,EN,Economy
R_12MyC9uCneyNul9,Adequate support for Seniors,EN,Adequate support for Seniors
R_12PG0rwrkYFsGtY,La dette,FR-CA,Debt
R_12PRDwSig604VE7,Child care,EN,Child care
R_12PSUZtg3wOCtuW,COVID-19,EN,COVID-19
R_12PdVYGZ9y8jOsm,Jobs,EN,Jobs
R_12PehEwA8rQUTap,Future green economy,EN,Future green economy
R_12PiYW9FaRVfNsy,"Armes à feu, Logements,Sans-abri!!!!!!",FR-CA,"Firearms, Housing, Homelessness!!!!!!"
R_12PilyRwRomsYpC,Environnement,FR-CA,Environment
R_12PtVKRC62GOeJZ,Transparency,EN,Transparency
R_12Qgy9LRbY0N0NO,Removal of Justin Trudeau,EN,Removal of Justin Trudeau
R_12QjwOg6B5TYvcn,Cerb,EN,Cerb
R_12Qm6MqulNmlRWR,Economy and debt,EN,Economy and debt
R_12QsM6b6Ta4x70W,mental health,EN,mental health
R_12RKyXtB8ISdmM5,Discrimination,EN,Discrimination
R_12RLcEZuYrqDo5S,-99,EN,-99
R_12RQKVfFS2lzQM1,Combatting Covid,EN,Combatting Covid
R_12RUNSMuMM2t2g6,economy,EN,economy
R_12RXWfiwYvKYmv3,Affordability,EN,Affordability
R_12RnfEM9QOW2Hdh,Environnement,FR-CA,Environment
R_12RoX3dwDPybucX,La gestion de la crise sanitaire,FR-CA,Managing the health crisis
R_12Rrwerw16D7QCg,Climate change,EN,Climate change
R_12SHmhwuzDV8a8V,Candidate integrity,EN,Candidate integrity
R_12Scr4D8nTtDsus,Taxes,EN,Taxes
R_12SerZFYUy2H7rO,la crise du logement,FR-CA,the housing crisis
R_12SkqpJPFTsyP4c,Climate change,EN,Climate change
R_12SyBDe1jIH8WR7,Deficit,EN,Deficit
R_12b62ijz5gb6yRB,People running do what they promise,EN,People running do what they promise
R_12b78tcxnBfVuye,Encroachment on our rights and freedoms,EN,Encroachment on our rights and freedoms
R_12bXQL9nXLVBQfC,Reprise économique,FR-CA,Economic recovery
R_12bafF1JqCSsgEQ,Deficit,EN,Deficit
R_12bgBrh1Gkth4aR,Covid 19,EN,Covid 19
R_12eVc1UWfHfTftj,AFFORDABLE HOUSING,EN,AFFORDABLE HOUSING
R_12eWVq7CuRM9Qgx,la santé et les pensions,FR-CA,health and pensions
R_12fE4YQ3viCV9VF,que TRUDEAU passe,FR-CA,that TRUDEAU passes
R_12fERpbAcWkI327,Students education,EN,Students education
R_12fOCXtAQqTxAmi,HEALTH CARE,EN,HEALTH CARE
R_12fP4ubffBl60X4,Covid,EN,Covid
R_12feucDwF7G6uUt,Strong honest Leadership,EN,Strong honest Leadership
R_12ffi3ALkeBwdCP,SANTÉ,FR-CA,HEALTH
R_12g3wKydH9g1KJK,"Égalité, avortement, environnement, LGBTQ",FR-CA,"Equality, abortion, environment, LGBTQ"
R_12gMYVjJTMkJmEU,Heathcare,EN,Heathcare
R_12gQVakDVCFOXmg,I hope they start helping First Nation People.,EN,I hope they start helping First Nation People.
R_12gVoqzfh6kfs7Y,Timing of this election is not good.,EN,Timing of this election is not good.
R_12gv3TiPYRq6WBO,Climate change,EN,Climate change
R_12hiKsta4tSVHkT,CESSER LES DÉPENSES EXCESSIVES DE TRUDEAU COMME LA PCU,FR-CA,EXPENDITURE EXCESSIVELY AS THE UCP
R_12hisRh7ZiCqeHy,Lack of accountability by the Prime Minister,EN,Lack of accountability by the Prime Minister
R_12hjUYqNghr4GZz,sante,FR-CA,health
R_12hkcUWP4R3YQdh,leadership,EN,leadership
R_12ijFssyjwdnyew,environnement,FR-CA,environment
R_12kXGSsJCAlI5gl,A sustainable economy and controlling government mega debt,EN,A sustainable economy and controlling government mega debt
R_12kXxgmEBwbzl5f,Mental Health Care Access,EN,Mental Health Care Access
R_12l2aITTiacmQCg,response to corona virus pandemic,EN,response to corona virus pandemic
R_12l6B4IsUk54HOi,Environmental Protection and Climate Change,EN,Environmental Protection and Climate Change
R_12lIbghKMVGVmM3,Childcare,EN,Childcare
R_12lInz8TxqvugsP,More jobs,EN,More jobs
R_12lk7PDVomMy87o,Getting rid of the Liberals,EN,Getting rid of the Liberals
R_12mMdh60nATpJzO,Covid 19,EN,Covid 19
R_12mY37pg2becrrJ,Medical care for seniors,EN,Medical care for seniors
R_12mf30ieVYbiQ5n,Ecomony,EN,Ecomony
R_12mt1ISVXNmdQBf,Deficit,EN,Deficit
R_12mtRrSdz0Tk1Gw,LE RESPECT DES COMPÉTENCES DES PROVINCES,FR-CA,COMPLIANCE WITH PROVINCES SKILLS
R_12mzxngbAiooRvQ,Economy,EN,Economy
R_12nWoO4H8Ek6r7d,china,EN,china
R_12nfoYuTnI8S3Y2,That it's fair,EN,That it's fair
R_12nir0XmBlmH4XZ,Housing and rent,EN,Housing and rent
R_12o0Kc3XQtPnapk,-99,EN,-99
R_12o4TWeDTK6XVAv,Student debt,EN,Student debt
R_12oskIm8QU2T2Rq,Fairness in all areas,EN,Fairness in all areas
R_12r8et4DM3NGg8v,the size of the deficit,EN,the size of the deficit
R_12rGLAsJQUpUAfF,Mental Health care,EN,Mental Health care
R_12rNVp9TI99Ldsm,td,EN,td
R_12rRzQFALpTKpqF,Santé,FR-CA,Health
R_12rmOMRawMiQDCx,Covid recovery,EN,Covid recovery
R_12rqoSxygSo5qLE,Le réchauffement  climatique,FR-CA,Global warming
R_12ruMT4XDSckgGP,Policy and governance direction,EN,Policy and governance direction
R_12sOXqeD6ttoo0c,Mandatory vaccine policy,EN,Mandatory vaccine policy
R_12sOYltUTPZI8KY,Réchauffement climatique,FR-CA,Climate warming
R_12sQRLWSdDSlTUL,Environment,EN,Environment
R_12sRNuODJ9P65um,Indigenous Issues,EN,Indigenous Issues
R_12sUCltxo5cTCRj,Climate change,EN,Climate change
R_12sZyds6MJQ7wWX,Climate change,EN,Climate change
R_12sf0Jm37EYhHLs,Helping muslims feel safe,EN,Helping muslims feel safe
R_12sg6eQqCgymrHm,Crise sanitaire,FR-CA,Health crisis
R_12srSl9LU1x5kxc,Les droits des premières nations,FR-CA,First Nations Rights
R_12ssNVxJpzbmNxK,climate change,EN,climate change
R_12t10CCVa90UdQ9,Healthcare,EN,Healthcare
R_12tFPoi1GQP4F6j,Environnement,FR-CA,Environment
R_12tKzfJD1pA9HCq,TAXES,EN,TAXES
R_12tYXpxdFu91c2k,Climate Change,EN,Climate Change
R_12tZ7JKPr6OSpSG,Healthcare,EN,Healthcare
R_12terWojAP8WaeK,"je ne sais  pas  encore,désolé !",FR-CA,"I don't know yet, sorry!"
R_12u6gdn0gRxCN69,Deficit,EN,Deficit
R_12u91O1BCFLiYlP,Climate change,EN,Climate change
R_12um5v51KhHJlv7,La santé,FR-CA,Health
R_12unIUycYTv0sDZ,Nothing,EN,Nothing
R_12x0FjgW69OFQMr,environment,EN,environment
R_12xmDv0JeItGhHK,L'environnement,FR-CA,Environment
R_12xteUIHkmTqhwd,LA BONNE GESTION DE LA SANTÉ PUBLIQUE,FR-CA,GOOD PUBLIC HEALTH MANAGEMENT
R_12yBVkgU4SQAyfV,Health Care,EN,Health Care
R_12yUB0oTedceptc,"Mental health, finances",EN,"Mental health, finances"
R_12yXGN838W4ZFoP,Health care,EN,Health care
R_12zFM6lRogVyA1v,Getting the corrupt Justin Trudeau and his corrupt party out of office.,EN,Getting the corrupt Justin Trudeau and his corrupt party out of office.
R_12zIsfUTBgDPyqC,Taxes,EN,Taxes
R_12zJJB9thuwvmBa,How covid-19 continues to be handled,EN,How covid-19 continues to be handled
R_12zL5FqBEXvic6Q,Cost of living,EN,Cost of living
R_12zqTGcwQO36ftk,SUPPORT FOR THE ELDERLY,EN,SUPPORT FOR THE ELDERLY
R_12zsg4HpCF9uhxH,COVID 19,EN,COVID 19
R_1ADOx5zqbcwhzxL,economy,EN,economy
R_1AN4J8EEScB1snD,La langue francaise,FR-CA,The French language
R_1AdtDVYq20dpRJL,economy,EN,economy
R_1B71k2fipBE8BoJ,Économie,FR-CA,Economy
R_1BKsSPc1NgrrSZX,Integrity,EN,Integrity
R_1BMnG3reYPDxyVj,Le déficit financier,FR-CA,The financial deficit
R_1BOQG2HmxUHvNpP,finances et dette,FR-CA,finance and debt
R_1BOQGKPrR2dzLmo,I don't have any personal issues with the federal election,EN,I don't have any personal issues with the federal election
R_1BOROchcQUWiO1x,Federal debt,EN,Federal debt
R_1BP1QJvhHLyMuHz,Getting Trudeau out of office,EN,Getting Trudeau out of office
R_1BPBJzf8fWP1jCn,Socialism,EN,Socialism
R_1BPBhfyV0GFTi4O,Climate change,EN,Climate change
R_1BPDiFUP2oahB6v,aucun,FR-CA,none
R_1BPJRkJ0bITLdx7,Système de santé,FR-CA,Health system
R_1BPK1w1pSGEgF7W,Idk,EN,Idk
R_1BPLBMPDGCSL0Al,finance,FR-CA,finance
R_1BPjqJxNJWx4wSq,Health care,EN,Health care
R_1BQ7tPI9JlxgEi7,Housing affordability,EN,Housing affordability
R_1BQI4WH054a3WTo,Réduction du réchauffement climatique,FR-CA,Reducing global warming
R_1BQPO41PeX8RmW0,Covid 19,EN,Covid 19
R_1BQv9kUmVfDv06J,"The prime minister’s lies and abuse of our parliamentary system, not to mention the huge deficit taxpayers are not going to have to pay. totally unacceptable, but what can we expect from a drama school teacher born into an elitist family with more financial wealth than he could ever spend!",EN,"The prime minister’s lies and abuse of our parliamentary system, not to mention the huge deficit taxpayers are not going to have to pay. totally unacceptable, but what can we expect from a drama school teacher born into an elitist family with more financial wealth than he could ever spend!"
R_1BR7nC7wd3Xpp3E,healthcare,EN,healthcare
R_1BRBRmoWEh4pjmm,Environment,EN,Environment
R_1BRGbnAq4Ra4TVx,Not applicable,EN,Not applicable
